Pattern_Name,LUTindexTemperature_20,LUTindexTemperature_25,LUTindexTemperature_26,LUTindexTemperature_28,LUTindexTemperature_30,LUTindexTemperature_32,LUTindexTemperature_35,LUTindexTemperature_40
LUTindex129,1.257648e+02,1.273824e+02,1.277059e+02,1.283530e+02,129,1.296470e+02,1.306176e+02,1.322352e+02
LUTindex130,1.267559e+02,1.283780e+02,1.287024e+02,1.293512e+02,130,1.306488e+02,1.316220e+02,1.332441e+02
LUTindex131,1.277477e+02,1.293739e+02,1.296991e+02,1.303495e+02,131,1.316505e+02,1.326261e+02,1.342523e+02
LUTindex132,1.287400e+02,1.303700e+02,1.306960e+02,1.313480e+02,132,1.326520e+02,1.336300e+02,1.352600e+02
LUTindex133,1.297328e+02,1.313664e+02,1.316931e+02,1.323466e+02,133,1.336534e+02,1.346336e+02,1.362672e+02
LUTindex134,1.307260e+02,1.323630e+02,1.326904e+02,1.333452e+02,134,1.346548e+02,1.356370e+02,1.372740e+02
LUTindex135,1.317195e+02,1.333597e+02,1.336878e+02,1.343439e+02,135,1.356561e+02,1.366403e+02,1.382805e+02
LUTindex136,1.327132e+02,1.343566e+02,1.346853e+02,1.353426e+02,136,1.366574e+02,1.376434e+02,1.392868e+02
LUTindex137,1.337071e+02,1.353536e+02,1.356828e+02,1.363414e+02,137,1.376586e+02,1.386464e+02,1.402929e+02
LUTindex138,1.347010e+02,1.363505e+02,1.366804e+02,1.373402e+02,138,1.386598e+02,1.396495e+02,1.412990e+02
LUTindex139,1.356950e+02,1.373475e+02,1.376780e+02,1.383390e+02,139,1.396610e+02,1.406525e+02,1.423050e+02
LUTindex140,1.366893e+02,1.383447e+02,1.386757e+02,1.393379e+02,140,1.406621e+02,1.416553e+02,1.433107e+02
LUTindex141,1.376842e+02,1.393421e+02,1.396737e+02,1.403368e+02,141,1.416632e+02,1.426579e+02,1.443158e+02
LUTindex142,1.386798e+02,1.403399e+02,1.406719e+02,1.413360e+02,142,1.426640e+02,1.436601e+02,1.453202e+02
LUTindex143,1.396763e+02,1.413382e+02,1.416705e+02,1.423353e+02,143,1.436647e+02,1.446618e+02,1.463237e+02
LUTindex144,1.406740e+02,1.423370e+02,1.426696e+02,1.433348e+02,144,1.446652e+02,1.456630e+02,1.473260e+02
LUTindex145,1.416730e+02,1.433365e+02,1.436692e+02,1.443346e+02,145,1.456654e+02,1.466635e+02,1.483270e+02
LUTindex146,1.426733e+02,1.443367e+02,1.446693e+02,1.453347e+02,146,1.466653e+02,1.476633e+02,1.493267e+02
LUTindex147,1.436748e+02,1.453374e+02,1.456699e+02,1.463350e+02,147,1.476650e+02,1.486626e+02,1.503252e+02
LUTindex148,1.446772e+02,1.463386e+02,1.466709e+02,1.473354e+02,148,1.486646e+02,1.496614e+02,1.513228e+02
LUTindex149,1.456802e+02,1.473401e+02,1.476721e+02,1.483360e+02,149,1.496640e+02,1.506599e+02,1.523198e+02
LUTindex150,1.466836e+02,1.483418e+02,1.486734e+02,1.493367e+02,150,1.506633e+02,1.516582e+02,1.533164e+02
LUTindex151,1.476872e+02,1.493436e+02,1.496749e+02,1.503374e+02,151,1.516626e+02,1.526564e+02,1.543128e+02
LUTindex152,1.486906e+02,1.503453e+02,1.506762e+02,1.513381e+02,152,1.526619e+02,1.536547e+02,1.553094e+02
LUTindex153,1.496938e+02,1.513469e+02,1.516775e+02,1.523388e+02,153,1.536612e+02,1.546531e+02,1.563062e+02
LUTindex154,1.506967e+02,1.523484e+02,1.526787e+02,1.533393e+02,154,1.546607e+02,1.556516e+02,1.573033e+02
LUTindex155,1.516997e+02,1.533498e+02,1.536799e+02,1.543399e+02,155,1.556601e+02,1.566502e+02,1.583003e+02
