Pattern_Name,LUTindexTemperature_20,LUTindexTemperature_25,LUTindexTemperature_26,LUTindexTemperature_28,LUTindexTemperature_30,LUTindexTemperature_32,LUTindexTemperature_35,LUTindexTemperature_40
LUTindex107,1.040594e+02,1.055297e+02,1.058238e+02,1.064119e+02,107,1.075881e+02,1.084703e+02,1.099406e+02
LUTindex108,1.050409e+02,1.065204e+02,1.068164e+02,1.074082e+02,108,1.085918e+02,1.094796e+02,1.109591e+02
LUTindex109,1.060226e+02,1.075113e+02,1.078090e+02,1.084045e+02,109,1.095955e+02,1.104887e+02,1.119774e+02
LUTindex110,1.070045e+02,1.085022e+02,1.088018e+02,1.094009e+02,110,1.105991e+02,1.114978e+02,1.129955e+02
LUTindex111,1.079866e+02,1.094933e+02,1.097946e+02,1.103973e+02,111,1.116027e+02,1.125067e+02,1.140134e+02
LUTindex112,1.089689e+02,1.104845e+02,1.107876e+02,1.113938e+02,112,1.126062e+02,1.135155e+02,1.150311e+02
LUTindex113,1.099514e+02,1.114757e+02,1.117806e+02,1.123903e+02,113,1.136097e+02,1.145243e+02,1.160486e+02
LUTindex114,1.109340e+02,1.124670e+02,1.127736e+02,1.133868e+02,114,1.146132e+02,1.155330e+02,1.170660e+02
LUTindex115,1.119167e+02,1.134583e+02,1.137667e+02,1.143833e+02,115,1.156167e+02,1.165417e+02,1.180833e+02
LUTindex116,1.128996e+02,1.144498e+02,1.147598e+02,1.153799e+02,116,1.166201e+02,1.175502e+02,1.191004e+02
LUTindex117,1.138828e+02,1.154414e+02,1.157531e+02,1.163766e+02,117,1.176234e+02,1.185586e+02,1.201172e+02
LUTindex118,1.148664e+02,1.164332e+02,1.167466e+02,1.173733e+02,118,1.186267e+02,1.195668e+02,1.211336e+02
LUTindex119,1.158506e+02,1.174253e+02,1.177402e+02,1.183701e+02,119,1.196299e+02,1.205747e+02,1.221495e+02
LUTindex120,1.168353e+02,1.184176e+02,1.187341e+02,1.193671e+02,120,1.206329e+02,1.215824e+02,1.231647e+02
LUTindex121,1.178207e+02,1.194104e+02,1.197283e+02,1.203641e+02,121,1.216359e+02,1.225896e+02,1.241793e+02
LUTindex122,1.188068e+02,1.204034e+02,1.207227e+02,1.213614e+02,122,1.226386e+02,1.235966e+02,1.251932e+02
LUTindex123,1.197934e+02,1.213967e+02,1.217174e+02,1.223587e+02,123,1.236413e+02,1.246033e+02,1.262066e+02
LUTindex124,1.207805e+02,1.223903e+02,1.227122e+02,1.233561e+02,124,1.246439e+02,1.256097e+02,1.272195e+02
LUTindex125,1.217681e+02,1.233840e+02,1.237072e+02,1.243536e+02,125,1.256464e+02,1.266160e+02,1.282319e+02
LUTindex126,1.227559e+02,1.243780e+02,1.247024e+02,1.253512e+02,126,1.266488e+02,1.276220e+02,1.292441e+02
LUTindex127,1.237440e+02,1.253720e+02,1.256976e+02,1.263488e+02,127,1.276512e+02,1.286280e+02,1.302560e+02
LUTindex128,1.247323e+02,1.263662e+02,1.266929e+02,1.273465e+02,128,1.286535e+02,1.296338e+02,1.312677e+02
LUTindex129,1.257207e+02,1.273603e+02,1.276883e+02,1.283441e+02,129,1.296559e+02,1.306397e+02,1.322793e+02
LUTindex130,1.267091e+02,1.283545e+02,1.286836e+02,1.293418e+02,130,1.306582e+02,1.316455e+02,1.332909e+02
LUTindex131,1.276976e+02,1.293488e+02,1.296790e+02,1.303395e+02,131,1.316605e+02,1.326512e+02,1.343024e+02
LUTindex132,1.286864e+02,1.303432e+02,1.306745e+02,1.313373e+02,132,1.326627e+02,1.336568e+02,1.353136e+02
LUTindex133,1.296756e+02,1.313378e+02,1.316702e+02,1.323351e+02,133,1.336649e+02,1.346622e+02,1.363244e+02
LUTindex134,1.306653e+02,1.323327e+02,1.326661e+02,1.333331e+02,134,1.346669e+02,1.356673e+02,1.373347e+02
LUTindex135,1.316558e+02,1.333279e+02,1.336623e+02,1.343312e+02,135,1.356688e+02,1.366721e+02,1.383442e+02
LUTindex136,1.326471e+02,1.343235e+02,1.346588e+02,1.353294e+02,136,1.366706e+02,1.376765e+02,1.393529e+02
LUTindex137,1.336393e+02,1.353196e+02,1.356557e+02,1.363279e+02,137,1.376721e+02,1.386804e+02,1.403607e+02
LUTindex138,1.346324e+02,1.363162e+02,1.366529e+02,1.373265e+02,138,1.386735e+02,1.396838e+02,1.413676e+02
LUTindex139,1.356262e+02,1.373131e+02,1.376505e+02,1.383252e+02,139,1.396748e+02,1.406869e+02,1.423738e+02
LUTindex140,1.366207e+02,1.383104e+02,1.386483e+02,1.393241e+02,140,1.406759e+02,1.416896e+02,1.433793e+02
LUTindex141,1.376158e+02,1.393079e+02,1.396463e+02,1.403232e+02,141,1.416768e+02,1.426921e+02,1.443842e+02
LUTindex142,1.386113e+02,1.403057e+02,1.406445e+02,1.413223e+02,142,1.426777e+02,1.436943e+02,1.453887e+02
LUTindex143,1.396072e+02,1.413036e+02,1.416429e+02,1.423214e+02,143,1.436786e+02,1.446964e+02,1.463928e+02
LUTindex144,1.406034e+02,1.423017e+02,1.426413e+02,1.433207e+02,144,1.446793e+02,1.456983e+02,1.473966e+02
LUTindex145,1.415997e+02,1.432999e+02,1.436399e+02,1.443199e+02,145,1.456801e+02,1.467001e+02,1.484003e+02
LUTindex146,1.425964e+02,1.442982e+02,1.446385e+02,1.453193e+02,146,1.466807e+02,1.477018e+02,1.494036e+02
LUTindex147,1.435933e+02,1.452967e+02,1.456373e+02,1.463187e+02,147,1.476813e+02,1.487033e+02,1.504067e+02
LUTindex148,1.445907e+02,1.462953e+02,1.466363e+02,1.473181e+02,148,1.486819e+02,1.497047e+02,1.514094e+02
LUTindex149,1.455885e+02,1.472942e+02,1.476354e+02,1.483177e+02,149,1.496823e+02,1.507058e+02,1.524116e+02
LUTindex150,1.465868e+02,1.482934e+02,1.486347e+02,1.493174e+02,150,1.506826e+02,1.517066e+02,1.534132e+02
LUTindex151,1.475857e+02,1.492929e+02,1.496343e+02,1.503171e+02,151,1.516829e+02,1.527071e+02,1.544143e+02
LUTindex152,1.485853e+02,1.502927e+02,1.506341e+02,1.513171e+02,152,1.526829e+02,1.537073e+02,1.554147e+02
LUTindex153,1.495856e+02,1.512928e+02,1.516342e+02,1.523171e+02,153,1.536829e+02,1.547072e+02,1.564144e+02
LUTindex154,1.505859e+02,1.522929e+02,1.526344e+02,1.533172e+02,154,1.546828e+02,1.557071e+02,1.574141e+02
LUTindex155,1.515866e+02,1.532933e+02,1.536346e+02,1.543173e+02,155,1.556827e+02,1.567067e+02,1.584135e+02
LUTindex156,1.525878e+02,1.542939e+02,1.546351e+02,1.553176e+02,156,1.566824e+02,1.577061e+02,1.594122e+02
LUTindex157,1.535898e+02,1.552949e+02,1.556359e+02,1.563180e+02,157,1.576820e+02,1.587051e+02,1.604102e+02
LUTindex158,1.545930e+02,1.562965e+02,1.566372e+02,1.573186e+02,158,1.586814e+02,1.597035e+02,1.614071e+02
LUTindex159,1.555974e+02,1.572987e+02,1.576390e+02,1.583195e+02,159,1.596805e+02,1.607013e+02,1.624026e+02
LUTindex160,1.566034e+02,1.583017e+02,1.586414e+02,1.593207e+02,160,1.606793e+02,1.616983e+02,1.633966e+02
LUTindex161,1.576112e+02,1.593056e+02,1.596445e+02,1.603222e+02,161,1.616777e+02,1.626944e+02,1.643887e+02
LUTindex162,1.586207e+02,1.603104e+02,1.606483e+02,1.613242e+02,162,1.626758e+02,1.636896e+02,1.653792e+02
LUTindex163,1.596317e+02,1.613159e+02,1.616527e+02,1.623264e+02,163,1.636736e+02,1.646841e+02,1.663682e+02
LUTindex164,1.606440e+02,1.623220e+02,1.626576e+02,1.633288e+02,164,1.646712e+02,1.656780e+02,1.673559e+02
LUTindex165,1.616574e+02,1.633287e+02,1.636630e+02,1.643315e+02,165,1.656685e+02,1.666713e+02,1.683426e+02
LUTindex166,1.626716e+02,1.643358e+02,1.646686e+02,1.653343e+02,166,1.666657e+02,1.676642e+02,1.693284e+02
LUTindex167,1.636865e+02,1.653432e+02,1.656746e+02,1.663373e+02,167,1.676627e+02,1.686568e+02,1.703135e+02
LUTindex168,1.647018e+02,1.663509e+02,1.666807e+02,1.673404e+02,168,1.686596e+02,1.696491e+02,1.712982e+02
LUTindex169,1.657175e+02,1.673588e+02,1.676870e+02,1.683435e+02,169,1.696565e+02,1.706412e+02,1.722825e+02
LUTindex170,1.667339e+02,1.683670e+02,1.686936e+02,1.693468e+02,170,1.706532e+02,1.716330e+02,1.732661e+02
LUTindex171,1.677510e+02,1.693755e+02,1.697004e+02,1.703502e+02,171,1.716498e+02,1.726245e+02,1.742490e+02
LUTindex172,1.687688e+02,1.703844e+02,1.707075e+02,1.713538e+02,172,1.726462e+02,1.736156e+02,1.752311e+02
LUTindex173,1.697874e+02,1.713937e+02,1.717149e+02,1.723575e+02,173,1.736425e+02,1.746063e+02,1.762126e+02
LUTindex174,1.708066e+02,1.724033e+02,1.727226e+02,1.733613e+02,174,1.746387e+02,1.755967e+02,1.771935e+02
LUTindex175,1.718264e+02,1.734132e+02,1.737306e+02,1.743653e+02,175,1.756347e+02,1.765868e+02,1.781736e+02
LUTindex176,1.728470e+02,1.744235e+02,1.747388e+02,1.753694e+02,176,1.766306e+02,1.775765e+02,1.791530e+02
LUTindex177,1.738682e+02,1.754341e+02,1.757473e+02,1.763736e+02,177,1.776264e+02,1.785659e+02,1.801318e+02
LUTindex178,1.748900e+02,1.764450e+02,1.767560e+02,1.773780e+02,178,1.786220e+02,1.795550e+02,1.811100e+02
LUTindex179,1.759124e+02,1.774562e+02,1.777650e+02,1.783825e+02,179,1.796175e+02,1.805438e+02,1.820876e+02
LUTindex180,1.769355e+02,1.784678e+02,1.787742e+02,1.793871e+02,180,1.806129e+02,1.815322e+02,1.830645e+02
LUTindex181,1.779594e+02,1.794797e+02,1.797838e+02,1.803919e+02,181,1.816081e+02,1.825203e+02,1.840406e+02
LUTindex182,1.789840e+02,1.804920e+02,1.807936e+02,1.813968e+02,182,1.826032e+02,1.835080e+02,1.850160e+02
LUTindex183,1.800094e+02,1.815047e+02,1.818038e+02,1.824019e+02,183,1.835981e+02,1.844953e+02,1.859906e+02
LUTindex184,1.810356e+02,1.825178e+02,1.828143e+02,1.834071e+02,184,1.845929e+02,1.854822e+02,1.869644e+02
LUTindex185,1.820627e+02,1.835314e+02,1.838251e+02,1.844126e+02,185,1.855874e+02,1.864686e+02,1.879372e+02
LUTindex186,1.830905e+02,1.845452e+02,1.848362e+02,1.854181e+02,186,1.865819e+02,1.874548e+02,1.889095e+02
