Pattern_Name,LUTindexTemperature_20,LUTindexTemperature_25,LUTindexTemperature_26,LUTindexTemperature_28,LUTindexTemperature_30,LUTindexTemperature_32,LUTindexTemperature_35,LUTindexTemperature_40
LUTindex148,1.442844e+02,1.461422e+02,1.465137e+02,1.472569e+02,148,1.487431e+02,1.498578e+02,1.517157e+02
LUTindex149,1.452793e+02,1.471397e+02,1.475117e+02,1.482559e+02,149,1.497441e+02,1.508604e+02,1.527207e+02
LUTindex150,1.462749e+02,1.481375e+02,1.485100e+02,1.492550e+02,150,1.507450e+02,1.518626e+02,1.537251e+02
LUTindex151,1.472715e+02,1.491358e+02,1.495086e+02,1.502543e+02,151,1.517457e+02,1.528643e+02,1.547285e+02
LUTindex152,1.482695e+02,1.501347e+02,1.505078e+02,1.512539e+02,152,1.527461e+02,1.538653e+02,1.557305e+02
LUTindex153,1.492689e+02,1.511345e+02,1.515076e+02,1.522538e+02,153,1.537462e+02,1.548655e+02,1.567311e+02
LUTindex154,1.502691e+02,1.521345e+02,1.525076e+02,1.532538e+02,154,1.547462e+02,1.558655e+02,1.577309e+02
LUTindex155,1.512699e+02,1.531350e+02,1.535080e+02,1.542540e+02,155,1.557460e+02,1.568650e+02,1.587301e+02
LUTindex156,1.522717e+02,1.541359e+02,1.545087e+02,1.552543e+02,156,1.567457e+02,1.578642e+02,1.597283e+02
LUTindex157,1.532746e+02,1.551373e+02,1.555098e+02,1.562549e+02,157,1.577451e+02,1.588627e+02,1.607255e+02
LUTindex158,1.542786e+02,1.561393e+02,1.565114e+02,1.572557e+02,158,1.587443e+02,1.598607e+02,1.617214e+02
LUTindex159,1.552841e+02,1.571420e+02,1.575136e+02,1.582568e+02,159,1.597432e+02,1.608580e+02,1.627160e+02
LUTindex160,1.562910e+02,1.581455e+02,1.585164e+02,1.592582e+02,160,1.607418e+02,1.618545e+02,1.637090e+02
LUTindex161,1.572997e+02,1.591499e+02,1.595199e+02,1.602600e+02,161,1.617400e+02,1.628501e+02,1.647002e+02
LUTindex162,1.583103e+02,1.601552e+02,1.605241e+02,1.612621e+02,162,1.627379e+02,1.638448e+02,1.656897e+02
LUTindex163,1.593225e+02,1.611612e+02,1.615290e+02,1.622645e+02,163,1.637355e+02,1.648388e+02,1.666775e+02
LUTindex164,1.603360e+02,1.621680e+02,1.625344e+02,1.632672e+02,164,1.647328e+02,1.658320e+02,1.676640e+02
LUTindex165,1.613506e+02,1.631753e+02,1.635403e+02,1.642701e+02,165,1.657299e+02,1.668247e+02,1.686493e+02
LUTindex166,1.623661e+02,1.641831e+02,1.645465e+02,1.652732e+02,166,1.667268e+02,1.678169e+02,1.696338e+02
LUTindex167,1.633823e+02,1.651911e+02,1.655529e+02,1.662765e+02,167,1.677235e+02,1.688089e+02,1.706177e+02
LUTindex168,1.643988e+02,1.661994e+02,1.665595e+02,1.672797e+02,168,1.687203e+02,1.698006e+02,1.716013e+02
LUTindex169,1.654154e+02,1.672077e+02,1.675662e+02,1.682831e+02,169,1.697169e+02,1.707923e+02,1.725846e+02
LUTindex170,1.664326e+02,1.682163e+02,1.685730e+02,1.692865e+02,170,1.707135e+02,1.717837e+02,1.735674e+02
LUTindex171,1.674503e+02,1.692252e+02,1.695801e+02,1.702901e+02,171,1.717099e+02,1.727748e+02,1.745497e+02
LUTindex172,1.684687e+02,1.702343e+02,1.705875e+02,1.712937e+02,172,1.727063e+02,1.737657e+02,1.755313e+02
LUTindex173,1.694878e+02,1.712439e+02,1.715951e+02,1.722976e+02,173,1.737024e+02,1.747561e+02,1.765122e+02
LUTindex174,1.705077e+02,1.722539e+02,1.726031e+02,1.733015e+02,174,1.746985e+02,1.757462e+02,1.774923e+02
LUTindex175,1.715285e+02,1.732642e+02,1.736114e+02,1.743057e+02,175,1.756943e+02,1.767358e+02,1.784715e+02
